epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9858,1.15833,2.11723,1.66823,0.65444,0.62139,0.69973,0.40467,1.35216,2.87323,1.92396,0.000469808,0.000469808,0.000469808
2,39.1454,1.24348,1.49751,1.72215,0.53914,0.67324,0.64452,0.33639,1.50855,3.34492,2.3096,0.000852474,0.000852474,0.000852474
3,58.3046,1.21774,1.36435,1.71771,0.62411,0.83574,0.77822,0.39168,1.52874,1.4749,2.01109,0.00114082,0.00114082,0.00114082
